  id   | runid |                                                                          fov                                                                          |           target            
  9230 | 68800 | ((48.0647383247922,-8.39791495409601),(45.9349892298237,-8.40290467280619),(45.9368040382982,-5.59303894042855),(48.0517617890216,-5.58771472089253)) | Fermi_GMB_GND_POS_564946193
  9249 | 68800 | ((51.6811899600787,-8.50696856097594),(49.5639147070052,-8.51242442583817),(49.5632071488193,-5.72062884440253),(51.6662989955811,-5.71569761932185)) | Fermi_GMB_GND_POS_564946193
  9215 | 68652 | ((31.8457679869827,22.0101438762247),(29.5850096799865,21.9959458107124),(29.5396718588979,24.7902839509474),(31.8485431319584,24.805021928086))      | Fermi_GMB_GND_POS_564946193
  9283 | 68652 | ((33.7341206839669,21.7920291899762),(31.4789750079673,21.8322313200597),(31.5144778854666,24.6233483967427),(33.815878041328,24.5817679023047))      | Fermi_GMB_GND_POS_564946193
  9183 | 68648 | ((1.3704520529156,39.816843992012),(358.52221297452,39.7938891567354),(358.382767102598,42.604440213253),(1.23609146202818,42.6499085163659))         | Fermi_GMB_GND_POS_564993306
 12562 | 69710 | ((49.8937153206698,-8.31766165006704),(47.775320150495,-8.33594190628582),(47.7559274055498,-5.54079996094323),(49.8618438492163,-5.52240326834702))  | Fermi_GMB_GND_POS_564946193
  9246 | 68652 | ((29.8872600853347,21.9309540802688),(27.6170758447321,21.8979492895279),(27.5469616648314,24.7077119758263),(29.8632459193286,24.7408493130039))     | Fermi_GMB_GND_POS_564946193
  9151 | 68647 | ((5.93976830602998,39.8136953112837),(3.21400450958459,39.8803458962964),(3.27606676006711,42.6710058349902),(6.11967646557278,42.6010758543759))     | Fermi_GMB_GND_POS_564993306
  9122 | 68647 | ((3.66742522072148,39.8888429125146),(0.936228484188123,39.8868142572696),(0.872864041571749,42.681006907216),(3.72392177642423,42.6831869789412))    | Fermi_GMB_GND_POS_564993306
 12601 | 69566 | ((1.35454481040767,39.8340492773705),(358.530810972128,39.7930585552767),(358.387777291853,42.6025779364142),(1.26046794526115,42.6263004392168))     | Fermi_GMB_GND_POS_564993306
 12613 | 69710 | ((51.6785138272572,-8.50702113694491),(49.5611988689176,-8.51237803292014),(49.5605504273209,-5.72055127239234),(51.6636547100242,-5.71567399280033)) | Fermi_GMB_GND_POS_564946193
  9938 | 69712 | ((49.8939210407176,-8.31904627278145),(47.7755854826715,-8.33735775928525),(47.756159378205,-5.54222347116019),(49.8620981415094,-5.52383123158834))  | Fermi_GMB_GND_POS_564946193
 10096 | 69565 | ((3.66689622996844,39.888051458301),(0.935903434466929,39.8858801834884),(0.872149972117363,42.6799338761193),(3.72305973933198,42.6823000921545))    | Fermi_GMB_GND_POS_564993306
 10108 | 69713 | ((48.0639935075361,-8.40185325219587),(45.9338192680286,-8.40668684498741),(45.9358029287363,-5.59651592905181),(48.051132687378,-5.59157088136267))  | Fermi_GMB_GND_POS_564946193
 10144 | 69566 | ((5.95047245479033,39.8074189254085),(3.22523426747732,39.8744538705162),(3.28844258390573,42.6650511065629),(6.13114497493972,42.5946359651263))     | Fermi_GMB_GND_POS_564993306
 10065 | 69713 | ((49.894043246418,-8.31958220095064),(47.775694265645,-8.33776471349094),(47.756438757267,-5.54265732621437),(49.8623870291345,-5.52435759370846))    | Fermi_GMB_GND_POS_564946193
 10008 | 69574 | ((33.7385728172771,21.7975519663057),(31.4835988190167,21.8374719321699),(31.5187694386299,24.6283638636783),(33.8200101574402,24.5870216078153))     | Fermi_GMB_GND_POS_564946193
 10160 | 69714 | ((48.062857228333,-8.40266056613318),(45.9325874157999,-8.40732493642038),(45.9346568555079,-5.5969289927782),(48.0501672732515,-5.59229194488678))   | Fermi_GMB_GND_POS_564946193
 10087 | 69570 | ((29.886838033198,21.9256325580025),(27.6167875266479,21.8923647009892),(27.5459060856798,24.7017273087727),(29.8627351287062,24.7352378623514))      | Fermi_GMB_GND_POS_564946193
 10117 | 69574 | ((31.844368485558,22.0054167223967),(29.5837935539954,21.991359454587),(29.5389641301237,24.7854763241082),(31.8475749901633,24.8000367115975))       | Fermi_GMB_GND_POS_564946193
 10073 | 69574 | ((29.883796525078,21.9238910715271),(27.613554821119,21.8909072675267),(27.5432069778266,24.6998745254368),(29.8602922575774,24.7333384855973))       | Fermi_GMB_GND_POS_564946193
 12651 | 69570 | ((31.8445387785842,22.0079895505113),(29.5838385385322,21.9937627710494),(29.5387447254036,24.7878634655501),(31.8476116046401,24.8025632682378))     | Fermi_GMB_GND_POS_564946193
 10024 | 69713 | ((51.6801095398494,-8.50491765012896),(49.562764244936,-8.51041177919512),(49.5620250156389,-5.71861683793403),(51.6651417954655,-5.7136436788969))   | Fermi_GMB_GND_POS_564946193
  9970 | 69573 | ((31.8442230451001,22.0059707614918),(29.5836534214641,21.9918045958961),(29.5387086895842,24.7859416923581),(31.8474368952896,24.8005680634272))     | Fermi_GMB_GND_POS_564946193
 10132 | 69570 | ((31.8446426700972,22.0080372457158),(29.583981669793,21.9936914550027),(29.5386857748937,24.7878746373063),(31.8475872069151,24.8026473949977))      | Fermi_GMB_GND_POS_564946193
 10179 | 69570 | ((33.738512313123,21.7938003201623),(31.4835760699175,21.8342050389996),(31.5194201251955,24.6251265093367),(33.8205704730046,24.5832594434767))      | Fermi_GMB_GND_POS_564946193
 10200 | 69566 | ((3.66708021834082,39.8877976960738),(0.936153323828796,39.8857422161541),(0.872518975454927,42.6797611103467),(3.72337811657181,42.682032784574))    | Fermi_GMB_GND_POS_564993306
 10308 | 69567 | ((5.95061591680201,39.8083784200831),(3.22533411180875,39.8752524661633),(3.28806819958201,42.6658600004974),(6.13088125384832,42.5955943548232))     | Fermi_GMB_GND_POS_564993306
 10316 | 69710 | ((48.0651061606327,-8.40062064714238),(45.9349374933412,-8.40578149390118),(45.9361079753605,-5.59574537505684),(48.0517698755435,-5.59040491782963)) | Fermi_GMB_GND_POS_564946193
 10211 | 69714 | ((49.8937649131674,-8.32049985717666),(47.77531747584,-8.33854417988487),(47.7562195653308,-5.54334775550703),(49.8622218516877,-5.52517546157798))   | Fermi_GMB_GND_POS_564946193
 10265 | 69710 | ((51.6784489191548,-8.50720031800199),(49.561013216074,-8.51228395447509),(49.560659416798,-5.72041234127466),(51.6638118000644,-5.71583746286507))   | Fermi_GMB_GND_POS_564946193
 10358 | 69567 | ((3.66691079020978,39.8875023422017),(0.935996564221934,39.8855133325115),(0.872471562133784,42.6795329240761),(3.72332336035938,42.6817106420393))   | Fermi_GMB_GND_POS_564993306
  9980 | 69565 | ((1.27326207496674,39.840997940439),(358.53222684072,39.7952378777154),(358.374699834428,42.613197964395),(1.2456363836654,42.6515328733811))         | Fermi_GMB_GND_POS_564993306
 10035 | 69569 | ((3.66632864225743,39.8869806034877),(0.935370365601281,39.8851889308178),(0.872341839305721,42.679248873194),(3.72319001709502,42.6812058249869))    | Fermi_GMB_GND_POS_564993306
  9981 | 69569 | ((1.27169688024378,39.841733126229),(358.530090740882,39.7964687710057),(358.372621101519,42.614592223126),(1.24170197010533,42.6523895827746))       | Fermi_GMB_GND_POS_564993306
 10216 | 69710 | ((49.8938633933712,-8.3175372399999),(47.7754934707265,-8.33604905686757),(47.7557532747919,-5.5408706295541),(49.8617059892254,-5.52228102235216))   | Fermi_GMB_GND_POS_564946193
 10271 | 69714 | ((51.6798167309681,-8.50356535427929),(49.5624937310939,-8.50924452802102),(49.5615491806552,-5.71734709029453),(51.6646427525213,-5.7121842521803))  | Fermi_GMB_GND_POS_564946193
 10367 | 69711 | ((51.6799110820554,-8.50704408880911),(49.5625320439067,-8.5122588103776),(49.5620221560334,-5.72041228741184),(51.6651667968815,-5.71571538414216))  | Fermi_GMB_GND_POS_564946193
 10041 | 69565 | ((5.94987750860179,39.8064781345463),(3.22473101436131,39.8736799991885),(3.28840933888077,42.664363707161),(6.13080348269789,42.5937222341156))      | Fermi_GMB_GND_POS_564993306
  9988 | 69712 | ((51.679809384895,-8.50614659762795),(49.5624669217781,-8.5115253286965),(49.5618730825942,-5.71969603565941),(51.6649263311093,-5.71482878429205))   | Fermi_GMB_GND_POS_564946193
 10275 | 69571 | ((31.8442367958075,22.0073558489485),(29.5837741869229,21.993046079371),(29.5385051886058,24.7871450638905),(31.8472265684913,24.8019379378875))      | Fermi_GMB_GND_POS_564946193
 10331 | 69571 | ((33.738244315353,21.7933174378588),(31.483260812224,21.833606449773),(31.519021618841,24.6244628824744),(33.8201802684436,24.5827837364966))         | Fermi_GMB_GND_POS_564946193
 10382 | 69572 | ((29.8849360765947,21.924693568758),(27.6147992917679,21.8915804563969),(27.543911185243,24.7007823047999),(29.8612148237889,24.734212213619))        | Fermi_GMB_GND_POS_564946193
 10410 | 69567 | ((1.37527232421616,39.8254938655209),(358.529856395984,39.7952500953877),(358.387845678691,42.6063587402307),(1.245322864233,42.6502142203882))       | Fermi_GMB_GND_POS_564993306
 10235 | 69571 | ((29.8858211098709,21.9253326577816),(27.6158109470945,21.8919201924937),(27.544461548054,24.7008596881853),(29.8618156612806,24.734743898426))       | Fermi_GMB_GND_POS_564946193
 10427 | 69711 | ((48.0652603204006,-8.4012665731121),(45.9350556170496,-8.40609164614012),(45.9366084574167,-5.59539519890521),(48.0520814048734,-5.59091533051902))  | Fermi_GMB_GND_POS_564946193
 12690 | 69570 | ((29.8865571991187,21.9255422124346),(27.6164419819126,21.8925043674978),(27.5459475664156,24.7019559271709),(29.8628820140788,24.7350678595123))     | Fermi_GMB_GND_POS_564946193
 10444 | 69572 | ((33.7382737426845,21.7945621598632),(31.4832841891945,21.8347266381305),(31.5188333174714,24.625606745966),(33.8200397002052,24.5840378135282))      | Fermi_GMB_GND_POS_564946193
 10463 | 69568 | ((3.66683338720368,39.8872275569206),(0.935873784643819,39.8853409615353),(0.872628669873216,42.6793964308609),(3.72343379484456,42.6814668601089))   | Fermi_GMB_GND_POS_564993306
 10478 | 69711 | ((49.8943841722753,-8.3183594302503),(47.7760256367398,-8.33676719140421),(47.7564083076553,-5.54163116921678),(49.8623518685809,-5.52312941369422))  | Fermi_GMB_GND_POS_564946193
 10532 | 69712 | ((48.0642741660078,-8.40177618480828),(45.9340524772818,-8.40638494559456),(45.9359351983306,-5.59541124681565),(48.051299077565,-5.5912235202828))   | Fermi_GMB_GND_POS_564946193
 10490 | 69572 | ((31.8441728752634,22.0066090255292),(29.5835098194357,21.9924282530732),(29.538519289172,24.7864987801183),(31.8473280676043,24.8011858632368))      | Fermi_GMB_GND_POS_564946193
 10254 | 69566 | ((1.38264848585931,39.7920293141276),(358.530395308916,39.7953043612452),(358.387979246441,42.6061857776691),(1.2441431799956,42.6450715717402))      | Fermi_GMB_GND_POS_564993306
 10521 | 69568 | ((5.95083416415281,39.8093467934817),(3.22548524556279,39.8760640801641),(3.28785063634719,42.6666853874872),(6.13085407545902,42.5965821916488))     | Fermi_GMB_GND_POS_564993306
 10540 | 69573 | ((33.7383353557056,21.7959970410871),(31.483340977979,21.8360519300005),(31.5186895205415,24.6269411416256),(33.819894819873,24.5854898518371))       | Fermi_GMB_GND_POS_564946193
 10576 | 69568 | ((1.39931771905214,39.8038768357015),(358.530739569043,39.7959079390569),(358.387272853986,42.6066455523423),(1.24640106990654,42.6444805720625))     | Fermi_GMB_GND_POS_564993306
 10627 | 69569 | ((5.9506416641514,39.8104264782287),(3.22522113184374,39.876967654933),(3.28734688402577,42.6675368377428),(6.13040055546962,42.5976274126228))       | Fermi_GMB_GND_POS_564993306
 10613 | 69573 | ((29.8842038926936,21.9242049206962),(27.6139468171893,21.8911973908878),(27.5434987783403,24.7003324704755),(29.8604902341698,24.7337524940003))     | Fermi_GMB_GND_POS_564946193
 12453 | 69570 | ((33.7386890950293,21.7939937046708),(31.4837339633192,21.8341294226829),(31.5192392501717,24.6250100896146),(33.8204179739625,24.5834597204383))     | Fermi_GMB_GND_POS_564946193
 12483 | 69565 | ((5.9499602091877,39.8066055583871),(3.22505962338339,39.8735537471783),(3.28861842052189,42.6644686317661),(6.13061222818523,42.5939009875296))      | Fermi_GMB_GND_POS_564993306
 12504 | 69710 | ((48.0648916399337,-8.4007815442447),(45.9346890351886,-8.40570750492316),(45.9364140051949,-5.59546769620611),(48.0519162297446,-5.5905754062975))   | Fermi_GMB_GND_POS_564946193
 72158 | 82027 | ((125.410506007643,-15.5538877774538),(123.237111070053,-15.5715132746944),(123.226341563646,-12.7800103673329),(125.37171647691,-12.7628771186043))  | Fermi_566534323_T1352
 72159 | 82027 | ((123.573542776499,-15.3785873112352),(121.399701463284,-15.3968320183046),(121.387608710042,-12.6013650152695),(123.53499890799,-12.5832519398756))  | Fermi_566534323_T1352
 72160 | 82027 | ((121.698365223815,-15.4879126781914),(119.511785452388,-15.4843458895754),(119.529467070953,-12.6730617057963),(121.689695113018,-12.6774762556611)) | Fermi_566534323_T1352
 72164 | 82028 | ((125.412087222637,-15.5532539326255),(123.238700165746,-15.5709724596038),(123.22762349104,-12.7793908667324),(125.373053398478,-12.7622025217645))  | Fermi_566534323_T1352
 72165 | 82028 | ((123.5744400273,-15.3794071723554),(121.400449413697,-15.3976307202419),(121.388531501393,-12.6020361781526),(123.536009920503,-12.5840529419276))   | Fermi_566534323_T1352
 72166 | 82028 | ((121.698616078916,-15.4882102416981),(119.511842427903,-15.4845989779041),(119.529765409319,-12.6732473244012),(121.690018489668,-12.6777088040758)) | Fermi_566534323_T1352
 72168 | 82029 | ((123.574984227641,-15.3802838682149),(121.400964237138,-15.3982881623764),(121.389185444469,-12.6026004437373),(123.536711839892,-12.5847719952345)) | Fermi_566534323_T1352
 72169 | 82029 | ((125.412729900433,-15.5525558145554),(123.23939049809,-15.5704228016422),(123.228188341975,-12.7787831550841),(125.373484284799,-12.7613947718342))  | Fermi_566534323_T1352
 72172 | 82029 | ((121.698736727862,-15.4885475895814),(119.511995137158,-15.4847777717353),(119.52994748556,-12.6734027784422),(121.690310455052,-12.6779757221396))  | Fermi_566534323_T1352
 72175 | 82030 | ((125.412802288247,-15.5513535431327),(123.239447372971,-15.5694271111653),(123.228063785306,-12.7778476243788),(125.373419725818,-12.7603256562654)) | Fermi_566534323_T1352
 72176 | 82030 | ((123.574969067611,-15.3809110563657),(121.400925723811,-15.3988007281538),(121.389364593734,-12.6032109180906),(123.536975280998,-12.5854836955804)) | Fermi_566534323_T1352
 72177 | 82030 | ((121.698455749664,-15.4888649228808),(119.511596806812,-15.4849140069784),(119.529827314739,-12.6735880630917),(121.690121953093,-12.6782791956342)) | Fermi_566534323_T1352
 72179 | 82031 | ((125.413706175963,-15.5504714042753),(123.240239056138,-15.5686301410752),(123.228652171776,-12.7769250932441),(125.374070440602,-12.7592717959794)) | Fermi_566534323_T1352
 72180 | 82031 | ((123.575624433069,-15.3816495978419),(121.401587155515,-15.3994194782641),(121.390202061518,-12.6037555338333),(123.537785060217,-12.5862097176697)) | Fermi_566534323_T1352
 72181 | 82031 | ((121.698620190515,-15.4892710391528),(119.511687177059,-15.4852195454563),(119.530239360625,-12.673962470168),(121.690470942117,-12.6786639526632))  | Fermi_566534323_T1352
 72197 | 82028 | ((125.412116960273,-15.5532328641083),(123.238758595426,-15.5710458355057),(123.227612866987,-12.7794468108536),(125.372990486894,-12.7621678494131)) | Fermi_566534323_T1352
 72200 | 82031 | ((123.575854758368,-15.3814339262212),(121.40187358487,-15.3995748036843),(121.390019058835,-12.6039442127232),(123.537536611299,-12.5860398761028))  | Fermi_566534323_T1352
 72211 | 82029 | ((121.69875744736,-15.4884908301251),(119.512039331239,-15.484807008708),(119.530054465619,-12.6734900180874),(121.690234212466,-12.6779487922297))   | Fermi_566534323_T1352
 72534 | 82103 | ((121.218534574314,-22.497079558319),(118.937997713381,-22.4808913798673),(118.984534323006,-19.670162258014),(121.221377110837,-19.6861445516531))   | Fermi_566534323_T1144
 72535 | 82103 | ((123.175250881943,-22.4009241258482),(120.90802769153,-22.4139299096114),(120.910664110358,-19.6179514556679),(123.135769024582,-19.6051516908281))  | Fermi_566534323_T1144
 72537 | 82104 | ((125.092416714665,-22.5266308303847),(122.826109028857,-22.563197795569),(122.797233376357,-19.7715976955182),(125.019816297811,-19.736210359889))   | Fermi_566534323_T1144
 72538 | 82104 | ((123.175412666243,-22.4012142444934),(120.908287064937,-22.4140104966839),(120.911000698037,-19.618350589205),(123.135955645403,-19.6056140179072))  | Fermi_566534323_T1144
 72539 | 82104 | ((121.218154099507,-22.496624077996),(118.937638728054,-22.4804432853537),(118.98403766414,-19.6696125453016),(121.221345782063,-19.6859248110737))   | Fermi_566534323_T1144
 72542 | 82105 | ((123.175040050956,-22.4014096516276),(120.908096603982,-22.4139740141568),(120.911027841381,-19.6185462329045),(123.135844456322,-19.605943289605))  | Fermi_566534323_T1144
 72545 | 82106 | ((125.091706327282,-22.5260122749382),(122.825449334505,-22.5626558242157),(122.795966482051,-19.7710486820911),(125.018535094632,-19.7355046596762)) | Fermi_566534323_T1144
 72548 | 82106 | ((121.217518179045,-22.4960231776988),(118.937178077862,-22.479691896924),(118.983896819837,-19.6690910223278),(121.221109163773,-19.6854530091495))  | Fermi_566534323_T1144
 72549 | 82107 | ((125.090881297834,-22.5253780138197),(122.824609093355,-22.5625211227226),(122.795111317836,-19.7710137550241),(125.017715591503,-19.7351482241427)) | Fermi_566534323_T1144
 72552 | 82107 | ((121.217155859434,-22.4960240949322),(118.936532106494,-22.4794078222002),(118.983292257283,-19.6686078192935),(121.220767261763,-19.685159705685))  | Fermi_566534323_T1144
 72533 | 82103 | ((125.093074188398,-22.5266284452258),(122.826832787677,-22.5628372179445),(122.79801400852,-19.7711317298207),(125.020558489876,-19.7360543455388))  | Fermi_566534323_T1144
